param_name,param_value,pcmci_mae,pcmci_rmse,pcmci_bias,bagged_mae,bagged_rmse,bagged_bias,bootstrap_mae,bootstrap_rmse,bootstrap_bias
cross,0.7321052631578947,0.0185787803697057,0.0185787803697057,-0.0185787803697057,0.0196818694039571,0.0196818694039571,-0.0196818694039571,0.0156081447811315,0.0156081447811315,-0.0156081447811315
cross,0.7836842105263158,0.019880154727772,0.019880154727772,-0.019880154727772,0.0212362943734654,0.0212362943734654,-0.0212362943734654,0.0162995510206069,0.0162995510206069,-0.0162995510206069
cross,0.8352631578947368,0.021101963309001,0.021101963309001,-0.021101963309001,0.021101963309001,0.021101963309001,-0.021101963309001,0.0156891610188838,0.0156891610188838,-0.0156891610188838
cross,0.8868421052631579,0.0222212211652805,0.0222212211652805,-0.0222212211652805,0.0240210055117415,0.0240210055117415,-0.0240210055117415,0.016084461701328,0.016084461701328,-0.016084461701328
cross,0.9384210526315788,0.0232237084788105,0.0232237084788105,-0.0232237084788105,0.0251710962964821,0.0251710962964821,-0.0251710962964821,0.0164132077620591,0.0164132077620591,-0.0164132077620591
cross,0.99,0.0240970325601126,0.0240970325601126,-0.0240970325601126,0.0261222294067071,0.0261222294067071,-0.0261222294067071,0.0158505494642757,0.0158505494642757,-0.0158505494642757
noise,0.1,0.0126036374076162,0.0126036374076162,-0.0126036374076162,0.0128945542363726,0.0128945542363726,-0.0128945542363726,0.0135043957373072,0.0135043957373072,-0.0135043957373072
noise,0.2,0.0126036374076169,0.0126036374076169,-0.0126036374076169,0.0126036374076169,0.0126036374076169,-0.0126036374076169,0.0138990534071119,0.0138990534071119,-0.0138990534071119
noise,0.3,0.0126035183796442,0.0126035183796442,-0.0126035183796442,0.0128944352743251,0.0128944352743251,-0.0128944352743251,0.0137504899253023,0.0137504899253023,-0.0137504899253023
noise,0.4,0.0126036970122611,0.0126036970122611,-0.0126036970122611,0.0128946138410173,0.0128946138410173,-0.0128946138410173,0.0138484265609725,0.0138484265609725,-0.0138484265609725
noise,0.5,0.0126036960506366,0.0126036960506366,-0.0126036960506366,0.0128946128448312,0.0128946128448312,-0.0128946128448312,0.0136423595354624,0.0136423595354624,-0.0136423595354624
noise,0.6,0.0126035183796452,0.0126035183796452,-0.0126035183796452,0.0128944352743246,0.0128944352743246,-0.0128944352743246,0.0137961867631037,0.0137961867631037,-0.0137961867631037
noise,0.7,0.0126035786014984,0.0126035786014984,-0.0126035786014984,0.0128944956241735,0.0128944956241735,-0.0128944956241735,0.0135958560127258,0.0135958560127258,-0.0135958560127258
noise,0.7999999999999999,0.0126037566169053,0.0126037566169053,-0.0126037566169053,0.0128946734456627,0.0128946734456627,-0.0128946734456627,0.0137303180347364,0.0137303180347364,-0.0137303180347364
noise,0.8999999999999999,0.0126037570009138,0.0126037570009138,-0.0126037570009138,0.0128946736955357,0.0128946736955357,-0.0128946736955357,0.0137846641102892,0.0137846641102892,-0.0137846641102892
noise,1.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.013895207670474,0.013895207670474,-0.013895207670474
noise,1.1,0.0126035156036299,0.0126035156036299,-0.0126035156036299,0.0128944325054054,0.0128944325054054,-0.0128944325054054,0.0138037627733773,0.0138037627733773,-0.0138037627733773
noise,1.2,0.0126035183796446,0.0126035183796446,-0.0126035183796446,0.0128944352743239,0.0128944352743239,-0.0128944352743239,0.0136765620734736,0.0136765620734736,-0.0136765620734736
noise,1.3,0.0126036331742835,0.0126036331742835,-0.0126036331742835,0.0126036331742835,0.0126036331742835,-0.0126036331742835,0.013539967804402,0.013539967804402,-0.013539967804402
noise,1.4,0.0126035189968537,0.0126035189968537,-0.0126035189968537,0.0126035189968537,0.0126035189968537,-0.0126035189968537,0.0136775322458769,0.0136775322458769,-0.0136775322458769
noise,1.5,0.0126036321079889,0.0126036321079889,-0.0126036321079889,0.0128945490802923,0.0128945490802923,-0.0128945490802923,0.0138383082082307,0.0138383082082307,-0.0138383082082307
noise,1.6,0.0126038162215491,0.0126038162215491,-0.0126038162215491,0.0128947330503068,0.0128947330503068,-0.0128947330503068,0.0138132534081072,0.0138132534081072,-0.0138132534081072
noise,1.7,0.0126034573917181,0.0126034573917181,-0.0126034573917181,0.012894374301213,0.012894374301213,-0.012894374301213,0.0136560553152053,0.0136560553152053,-0.0136560553152053
noise,1.8,0.0126036377916232,0.0126036377916232,-0.0126036377916232,0.0128945544862453,0.0128945544862453,-0.0128945544862453,0.0137611406086717,0.0137611406086717,-0.0137611406086717
noise,1.9,0.0126036413444586,0.0126036413444586,-0.0126036413444586,0.0128945583934874,0.0128945583934874,-0.0128945583934874,0.013748211633575,0.013748211633575,-0.013748211633575
noise,2.0,0.0126038152599269,0.0126038152599269,-0.0126038152599269,0.0128947320541221,0.0128947320541221,-0.0128947320541221,0.0136915230654266,0.0136915230654266,-0.0136915230654266
n,10.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.014029272210551,0.014029272210551,-0.014029272210551
n,50.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.0134031263095917,0.0134031263095917,-0.0134031263095917
n,150.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.0138241964476741,0.0138241964476741,-0.0138241964476741
n,200.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.0137047785248163,0.0137047785248163,-0.0137047785248163
n,500.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.0128946724494771,0.0128946724494771,-0.0128946724494771,0.0138189203856042,0.0138189203856042,-0.0138189203856042
T,200.0,,,,,,,0.0772646179829303,0.0772646179829303,0.0772646179829303
T,500.0,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0491880514810588,0.0501684891507526,0.0501684891507526,0.0501684891507526
T,1000.0,,,,,,,0.0107590106965386,0.0107590106965386,0.0107590106965386
T,5000.0,0.012603755655282,0.012603755655282,-0.012603755655282,0.012603755655282,0.012603755655282,-0.012603755655282,0.0136715868707821,0.0136715868707821,-0.0136715868707821
